feature,importance
diff_income,0.08540119
diff_workers,0.07584244
diff_combat_score,0.032884505
tech_diff,0.028322082
p2_num_unit_types,0.026733808
p2_scout,0.023614865
p1_num_unit_types,0.02350889
diff_income_60s,0.022526186
diff_income_120s,0.021108128
p1_scout,0.019976072
p2_tech_level,0.019650633
p1_combat,0.017976483
loss_trade_ratio,0.017458387
army_supply_ratio_diff,0.017425768
diff_combat_120s,0.017087692
p1_tech_level,0.016930591
phase,0.016716715
diff_sq,0.01658598
p1_workers,0.016558828
p2_combat,0.016519902
p2_recent_losses,0.016443543
p2_workers,0.016432442
p2_sq,0.015075248
p1_army_entropy,0.014995498
p1_recent_losses,0.014102014
p2_army_entropy,0.014089673
counter_advantage_p1,0.013893529
p2_army_supply_ratio,0.0138456
p1_army_to_worker_ratio,0.013702046
p2_army_to_worker_ratio,0.013465316
counter_advantage_p2,0.013356424
p1_army_supply_ratio,0.013013826
counter_advantage_diff,0.0129477605
p2_epm,0.012423822
income_per_worker_diff,0.012349616
p1_sq,0.011448116
diff_combat_vol_120,0.011368662
counter_advantage_vol_120,0.0111811785
diff_workers_120s,0.010976176
income_momentum_15,0.01089819
diff_income_vol_120,0.010131679
counter_advantage_diff_120s,0.010124635
delta_combat_p1,0.010072264
diff_sq_vol_120,0.009969912
p2_income_per_worker,0.009942344
p1_income_per_worker,0.009917094
diff_workers_vol_120,0.009811018
delta_combat_p2,0.009448614
counter_advantage_diff_60s,0.009187247
combat_momentum_15,0.009023942
diff_epm,0.00875539
p1_epm,0.0085245585
p1_worker_growth_ratio,0.0081602
diff_workers_60s,0.008058339
p2_worker_growth_ratio,0.0076343026
diff_combat_60s,0.0075655016
delta_workers_p2,0.0074166106
economic_momentum_15,0.00727928
diff_sq_60s,0.0072088353
sq_momentum_15,0.0071707936
delta_workers_p1,0.006907389
delta_sq_p1,0.0064224345
delta_sq_p2,0.0063170684
diff_sq_120s,0.0061128037
