feature,nan_count,inf_count
army_supply_ratio_diff,0,0
combat_momentum_15,0,0
counter_advantage_diff,0,0
counter_advantage_diff_120s,0,0
counter_advantage_diff_60s,0,0
counter_advantage_p1,0,0
counter_advantage_p2,0,0
counter_advantage_vol_120,0,0
delta_combat_p1,0,0
delta_combat_p2,0,0
delta_sq_p1,0,0
delta_sq_p2,0,0
delta_workers_p1,0,0
delta_workers_p2,0,0
diff_combat_120s,0,0
diff_combat_60s,0,0
diff_combat_score,0,0
diff_combat_vol_120,0,0
diff_epm,0,0
diff_income,0,0
diff_income_120s,0,0
diff_income_60s,0,0
diff_income_vol_120,0,0
diff_sq,0,0
diff_sq_120s,0,0
diff_sq_60s,0,0
diff_sq_vol_120,0,0
diff_workers,0,0
diff_workers_120s,0,0
diff_workers_60s,0,0
diff_workers_vol_120,0,0
economic_momentum_15,0,0
income_momentum_15,0,0
income_per_worker_diff,0,0
loss_trade_ratio,0,0
p1_army_entropy,0,0
p1_army_supply_ratio,0,0
p1_army_to_worker_ratio,0,0
p1_combat,0,0
p1_epm,0,0
p1_income_per_worker,0,0
p1_num_unit_types,0,0
p1_recent_losses,0,0
p1_scout,0,0
p1_sq,0,0
p1_tech_level,0,0
p1_worker_growth_ratio,0,0
p1_workers,0,0
p2_army_entropy,0,0
p2_army_supply_ratio,0,0
p2_army_to_worker_ratio,0,0
p2_combat,0,0
p2_epm,0,0
p2_income_per_worker,0,0
p2_num_unit_types,0,0
p2_recent_losses,0,0
p2_scout,0,0
p2_sq,0,0
p2_tech_level,0,0
p2_worker_growth_ratio,0,0
p2_workers,0,0
phase,0,0
sq_momentum_15,0,0
tech_diff,0,0
