feature,dtype,nan_count,inf_count,zero_ratio,unique_count,mean,std,min,max,outlier_ratio,constant_flag,near_constant_flag
army_supply_ratio_diff,float64,0,0,0.10126041444135868,13498,-0.0028705028970236073,0.14633539963791264,-0.631578947368421,0.5885281385281386,0.08326212347788935,False,False
combat_momentum_15,float64,0,0,0.14366588335825678,14452,0.0006260986110186207,0.15285909768587952,-3.1359453666333668,1.7159349909219377,0.1466032898953215,False,False
counter_advantage_diff,float64,0,0,0.23306985686819057,9410,-0.007301311101356169,0.24584883657146142,-0.865,0.85,0.1675389873958556,False,False
counter_advantage_diff_120s,float64,0,0,0.2075945310831019,11428,0.0008401932653225176,0.2713544871254651,-1.5949999999999998,1.2846969696969697,0.18281350138859218,False,False
counter_advantage_diff_60s,float64,0,0,0.2325357829523606,11615,-7.071577149193292e-06,0.22390554781333022,-1.5949999999999998,1.3530000000000002,0.20187994018372143,False,False
counter_advantage_p1,float64,0,0,0.33769493697927794,7452,0.14109626386721957,0.16724546343478092,0.0,0.85,0.029961546678060242,False,False
counter_advantage_p2,float64,0,0,0.3247169408246101,7519,0.14839757496857575,0.17243366335356794,0.0,0.865,0.031243324076052126,False,False
counter_advantage_vol_120,float64,0,0,0.19936979277932065,13458,0.09059363166715786,0.097297621242271,0.0,0.7497056271863258,0.029961546678060242,False,False
delta_combat_p1,float64,0,0,0.22094637897885067,12335,0.029675848509899495,0.1297308922675235,-3.272396835164836,1.6511002073104204,0.14590899380474256,False,False
delta_combat_p2,float64,0,0,0.22746208075197608,12198,0.02904974989888087,0.1272251134113273,-2.724521415525113,1.6960000000000004,0.14532151249732964,False,False
delta_sq_p1,float64,0,0,0.0009079256569109165,18628,1.0410354467162584,23.288760822274806,-119.65651832166948,133.29839738240938,0.026703695791497544,False,False
delta_sq_p2,float64,0,0,0.0014419995727408673,18621,1.0560412210497483,23.139488441904444,-107.81613356013476,124.94012094447814,0.026543473616748556,False,False
delta_workers_p1,float64,0,0,0.33198034607989746,36,0.8987395855586413,1.7969632952734798,-29.0,20.0,0.02990813928647725,False,False
delta_workers_p2,float64,0,0,0.3485366374706259,32,0.9110766930143132,1.7777930512251705,-17.0,16.0,0.030602435377056186,False,False
diff_combat_120s,float64,0,0,0.10254219183935057,14781,0.003906544556408398,0.3564876315040596,-3.598876824168462,3.033714809636132,0.141422772911771,False,False
diff_combat_60s,float64,0,0,0.10339671010467849,14854,0.0021319257303000316,0.27673741757642517,-3.5468042195915803,2.086652364532302,0.1216620380260628,False,False
diff_combat_score,float64,0,0,0.10286263618884854,14355,0.008082982760141683,0.5774559922368515,-3.912226716981132,5.5061040000000006,0.18564409314249092,False,False
diff_combat_vol_120,float64,0,0,0.09597308267464218,15590,0.1064643977723383,0.11824157606381697,0.0,1.5162740705577662,0.06585131382183294,False,False
diff_epm,float64,0,0,0.025048066652424695,405,-1.7970519119846187,87.74713637590055,-736.0,1408.0,0.028626361888485368,False,False
diff_income,int64,0,0,0.013779107028412733,1287,-13.71149327066866,433.2113621016269,-3103.0,2643.0,0.09832300790429395,False,False
diff_income_120s,float64,0,0,0.008491775261696219,1804,-7.185110019226661,462.32191695922563,-2990.0,3174.0,0.09314249092074343,False,False
diff_income_60s,float64,0,0,0.009880367442854091,1519,-2.383465071565905,413.70244488644875,-3500.0,2525.0,0.09479812005981628,False,False
diff_income_vol_120,float64,0,0,0.0,18440,188.50058744910396,146.95687580220593,16.03314468203483,1276.6504592337435,0.04288613544114506,False,False
diff_sq,float64,0,0,5.3407391582995086e-05,18709,-0.07628839991556337,31.921688683575518,-142.23561331337606,154.69798044065598,0.0184789574877163,False,False
diff_sq_120s,float64,0,0,0.0,18724,-0.2768089330630537,42.453191840905305,-198.74388484428687,188.9832053390085,0.01837214270455031,False,False
diff_sq_60s,float64,0,0,0.00026703695791497543,18720,-0.05035897673554809,40.828383016114174,-173.84635251517255,200.1458637341976,0.017036957914975434,False,False
diff_sq_vol_120,float64,0,0,0.0,18724,24.706607576253475,9.064285763538658,0.936854819412818,67.84916614976267,0.014259773552659689,False,False
diff_workers,int64,0,0,0.10734885708182013,86,-0.24930570390942106,7.168016046236529,-46.0,44.0,0.0902584917752617,False,False
diff_workers_120s,float64,0,0,0.11610766930143132,74,-0.11819055757316813,6.049924239946308,-38.0,41.0,0.05346079897457808,False,False
diff_workers_60s,float64,0,0,0.15621662038026063,64,-0.05420850245674001,4.666006498177011,-38.0,40.0,0.07236701559495834,False,False
diff_workers_vol_120,float64,0,0,0.017250587481307412,1414,2.1256130435947567,1.662655150785865,0.0,16.639978632464913,0.04224524674214911,False,False
economic_momentum_15,float64,0,0,0.3281350138859218,41,-0.012337107455671865,2.3363050577513245,-29.0,21.0,0.05789361247596667,False,False
income_momentum_15,float64,0,0,0.020615253151036104,1041,-0.23883785515915404,240.2384766418469,-2173.0,2005.0,0.08059175389873958,False,False
income_per_worker_diff,float64,0,0,0.0035248878444776757,17555,-0.041235177346261725,8.486773643936068,-533.875,61.275,0.03572954496902371,False,False
loss_trade_ratio,float64,0,0,0.4195150608844264,502,1.572817508391065,3.3849201322201794,0.0,130.0,0.07861568041016877,False,False
p1_army_entropy,float64,0,0,0.25048066652424694,3449,0.9708955593939119,0.7063617817763185,0.0,3.0,0.0,False,False
p1_army_supply_ratio,float64,0,0,0.11386455885494552,3193,0.24262274835130995,0.16585515197894243,0.0,0.7844311377245509,0.0014954069643238624,False,False
p1_army_to_worker_ratio,float64,0,0,0.11386455885494552,3193,0.4010313985689366,0.38732976736497027,0.0,3.638888888888889,0.05639820551164281,False,False
p1_combat,float64,0,0,0.11386455885494552,12053,0.628625834716325,0.8748130017169167,0.0,6.675987817258882,0.10270241401409955,False,False
p1_epm,float64,0,0,0.000640888698995941,164,139.2251655629139,76.40532847243897,0.0,1764.0,0.022057252723776972,False,False
p1_income_per_worker,float64,0,0,0.0004272591326639607,7157,50.83265990401233,6.065989148490764,0.0,75.36666666666666,0.0619525742362743,False,False
p1_num_unit_types,int64,0,0,0.11386455885494552,9,2.5737556077761163,1.6626690856145596,0.0,8.0,0.0,False,False
p1_recent_losses,int64,0,0,0.4271523178807947,79,2.9210104678487503,7.753548339702928,0.0,436.0,0.11023285622730186,False,False
p1_scout,float64,0,0,0.0,18484,23.67639611622598,9.541506011484607,0.8999999999999999,54.59385194479297,0.001815851313821833,False,False
p1_sq,float64,0,0,0.0,17955,-65.12321454411007,34.439075950406426,-160.91734992407424,103.9649123404258,0.007744071779534288,False,False
p1_tech_level,int64,0,0,0.20187994018372143,4,1.4022644734031189,0.9712566197308098,0.0,3.0,0.0,False,False
p1_worker_growth_ratio,float64,0,0,0.33198034607989746,675,0.02704456628152266,0.04680790203714561,-0.5714285714285714,0.5714285714285714,0.03882717368083743,False,False
p1_workers,int64,0,0,0.0,98,42.12550737022004,18.840488437834853,3.0,100.0,0.0,False,False
p2_army_entropy,float64,0,0,0.2445524460585345,3354,0.9573464103596943,0.6837175771779628,0.0,2.94770277922009,0.0,False,False
p2_army_supply_ratio,float64,0,0,0.11535996581926938,3241,0.2454932512483336,0.16424264067835578,0.0,1.0,0.0016556291390728477,False,False
p2_army_to_worker_ratio,float64,0,0,0.11535996581926938,3240,0.4153212365006266,0.5928308737832221,0.0,16.0,0.052018799401837214,False,False
p2_combat,float64,0,0,0.11535996581926938,11926,0.6205428519561835,0.810842331486519,0.0,5.8259295,0.09287545396282845,False,False
p2_epm,float64,0,0,0.0008011108737449263,144,141.02221747489853,68.27459737070629,0.0,1076.0,0.02130954924161504,False,False
p2_income_per_worker,float64,0,0,0.0014419995727408673,7117,50.87389508135859,7.4304562743070335,0.0,559.0,0.06398205511642811,False,False
p2_num_unit_types,int64,0,0,0.11535996581926938,10,2.524887844477676,1.5913059314125921,0.0,9.0,0.23018585772270883,False,False
p2_recent_losses,int64,0,0,0.4195150608844264,82,3.0098803674428543,6.947407638922054,0.0,328.0,0.11397137363811151,False,False
p2_scout,float64,0,0,0.0,18447,23.48066382374299,9.436577331386697,1.2,50.06428571428572,0.0006942960905789361,False,False
p2_sq,float64,0,0,0.0,17933,-65.04692614419452,34.486496012395634,-170.14467280999304,100.51438163843432,0.0076906643879512925,False,False
p2_tech_level,int64,0,0,0.195577867976928,4,1.3756675923947874,0.9410196779244544,0.0,3.0,0.0,False,False
p2_worker_growth_ratio,float64,0,0,0.3485366374706259,683,0.027051791192718673,0.05195880526828149,-1.0,1.0,0.04107028412732322,False,False
p2_workers,int64,0,0,0.000640888698995941,105,42.374813074129456,19.289034351767565,0.0,110.0,0.0003738517410809656,False,False
phase,int64,0,0,0.2900021362956633,3,0.7961973937192908,0.5785188316600531,0.0,2.0,0.0,False,False
sq_momentum_15,float64,0,0,0.000587481307412946,18714,-0.015005774333490023,31.915039784024163,-148.79759872280223,138.57063193710565,0.022911770989104893,False,False
tech_diff,int64,0,0,0.521416364024781,7,0.026596881008331553,0.8017351114129871,-3.0,3.0,0.47858363597521897,False,False
