source_name,model,dataset_path,rows,n_features,n_replays_total,n_replays_train,n_replays_val,n_replays_test,cv_accuracy,validation_logloss,test_accuracy,test_balanced_accuracy,test_auc,test_logloss,best_params,best_iteration,device,notes,source_zip,member_path
test2_calibration_summary_xgb_vs_rf.json,,,,,,,,,,,,,,,,,,,/mnt/data/sc2_project_freeze_final.zip::sc2_project_freeze_final/artifacts/calib_test.zip,test2_calibration_summary_xgb_vs_rf.json
test3_duration_comparison_v3_1_summary.json,,,,,,,,,,,,,,,,,,XGBoost and RF durations are recomputed from test prediction CSVs. MLP durations are loaded from the saved duration CSV generated by the corrected v3 script.,/mnt/data/sc2_project_freeze_final.zip::sc2_project_freeze_final/artifacts/comparison.zip,test3_duration_comparison_v3_1_summary.json
sc2_project_freeze_final/artifacts/mlp_torch_gpu_v3_1_summary.json,MLP_PyTorch,starcraft_full_dataset_v3_1_fixed.csv,,,,,,,,,0.611598,0.612442,0.662624,0.648304,"{'hidden_dims': [512, 256], 'dropout': 0.2, 'lr': 0.0005, 'weight_decay': 0.001, 'batch_size': 4096}",,,Aligned GPU MLP benchmark summary used for final cross-model comparison.,/mnt/data/sc2_project_freeze_final.zip,sc2_project_freeze_final/artifacts/mlp_torch_gpu_v3_1_summary.json
sc2_project_freeze_final/artifacts/rf_clean_v3_1_summary.json,random_forest,starcraft_full_dataset_v3_1_fixed.csv,892047.0,64.0,23241.0,14873.0,3719.0,4649.0,0.6063,,0.618,0.6153,0.6643,0.6487,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",,,,/mnt/data/sc2_project_freeze_final.zip,sc2_project_freeze_final/artifacts/rf_clean_v3_1_summary.json
sc2_project_freeze_final/artifacts/rf_test_clean_v3_1_summary.json,random_forest,starcraft_full_dataset_v3_1_fixed.csv,,,,,,,0.6061,,0.6185037409274814,0.6144,0.6641953845275458,0.6483285479067915,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",,,"Latest RF export run used in bootstrap, calibration, and duration-comparison tests.",/mnt/data/sc2_project_freeze_final.zip,sc2_project_freeze_final/artifacts/rf_test_clean_v3_1_summary.json
sc2_project_freeze_final/artifacts/test1_xgb_vs_rf_bootstrap_summary.json,,,,,,,,4649.0,,,,,,,,,,Replay-level paired bootstrap reconstructed from recorded test output.,/mnt/data/sc2_project_freeze_final.zip,sc2_project_freeze_final/artifacts/test1_xgb_vs_rf_bootstrap_summary.json
sc2_project_freeze_final/artifacts/test2_calibration_summary_xgb_vs_rf.json,,,,,,,,,,,,,,,,,,,/mnt/data/sc2_project_freeze_final.zip,sc2_project_freeze_final/artifacts/test2_calibration_summary_xgb_vs_rf.json
sc2_project_freeze_final/artifacts/test3_duration_comparison_v3_1_summary.json,,,,,,,,,,,,,,,,,,Final unified duration comparison reconstructed from recorded output.,/mnt/data/sc2_project_freeze_final.zip,sc2_project_freeze_final/artifacts/test3_duration_comparison_v3_1_summary.json
mlp_torch_gpu_v3_1_export_summary.json,MLP_PyTorch,starcraft_full_dataset_v3_1_fixed.csv,892047.0,64.0,23241.0,14873.0,3719.0,4649.0,,0.6477161400973124,0.6100257975702158,0.6112954581999952,0.6620248474570631,0.6487730111884316,"{'hidden_dims': [512, 256], 'dropout': 0.2, 'lr': 0.0005, 'weight_decay': 0.001, 'batch_size': 4096}",5.0,cuda,,/mnt/data/sc2_project_freeze_final.zip::sc2_project_freeze_final/artifacts/test4pred_cal.zip,mlp_torch_gpu_v3_1_export_summary.json
test4_calibration_summary_xgb_rf_mlp.json,,,,,,,,,,,,,,,,,,,/mnt/data/sc2_project_freeze_final.zip::sc2_project_freeze_final/artifacts/test4pred_cal.zip,test4_calibration_summary_xgb_rf_mlp.json
sc2_project_freeze_final/artifacts/xgb_clean_v3_1_fixed_summary.json,XGBoost,starcraft_full_dataset_v3_1_fixed.csv,,,,,,,0.6066,,0.6193319492554519,0.615447290491411,0.6664887274496327,0.6451409213065206,"{'learning_rate': 0.05, 'max_depth': 6}",488.0,,Frozen main model summary used in bootstrap/calibration comparisons.,/mnt/data/sc2_project_freeze_final.zip,sc2_project_freeze_final/artifacts/xgb_clean_v3_1_fixed_summary.json
