feature,importance
diff_income,0.05387113
diff_workers,0.048491556
diff_combat_score,0.028578367
p2_num_unit_types,0.024325408
p2_tech_level,0.022350328
p1_tech_level,0.021855712
tech_diff,0.02098171
counter_advantage_diff,0.020287564
p2_army_entropy,0.020257069
p2_scout,0.020184672
p1_num_unit_types,0.020143209
p1_army_to_worker_ratio,0.019826911
p1_combat,0.01974591
p1_scout,0.019430898
p2_workers,0.018672721
counter_advantage_p1,0.018183209
p2_combat,0.018093374
diff_combat_120s,0.017887462
p1_army_supply_ratio,0.017875176
p1_workers,0.017349297
p2_sq,0.016997436
diff_income_60s,0.016412238
army_supply_ratio_diff,0.016181508
loss_trade_ratio,0.01585402
p2_army_to_worker_ratio,0.01585307
p1_army_entropy,0.01581458
p2_recent_losses,0.015751721
p1_sq,0.015447538
diff_income_120s,0.015218982
counter_advantage_vol_120,0.014947655
p2_army_supply_ratio,0.014507128
counter_advantage_p2,0.014458504
diff_sq,0.014085687
income_per_worker_diff,0.013243733
p1_income_per_worker,0.013160226
counter_advantage_diff_60s,0.0130742015
diff_workers_vol_120,0.013005565
delta_workers_p2,0.01275514
diff_combat_vol_120,0.0126362825
p1_recent_losses,0.012238845
diff_combat_60s,0.012164906
delta_combat_p2,0.01208176
diff_sq_60s,0.011988041
counter_advantage_diff_120s,0.011680908
diff_income_vol_120,0.0116403205
diff_workers_120s,0.011568115
income_momentum_15,0.011315052
p2_income_per_worker,0.011128886
diff_sq_vol_120,0.0109149255
p1_epm,0.01069678
delta_combat_p1,0.010502446
diff_workers_60s,0.010385943
p1_worker_growth_ratio,0.010219628
p2_epm,0.010132067
delta_sq_p2,0.009886409
diff_epm,0.009789919
economic_momentum_15,0.009447845
diff_sq_120s,0.008901191
sq_momentum_15,0.008391082
delta_sq_p1,0.008133088
combat_momentum_15,0.0081237275
phase,0.007894705
delta_workers_p1,0.006495522
p2_worker_growth_ratio,0.006480961
