profile,accuracy,balanced_accuracy,confusion_matrix,n_rows,roc_auc,log_loss,n_features,delta_accuracy_vs_full,delta_balanced_accuracy_vs_full,delta_roc_auc_vs_full,delta_log_loss_vs_full,dataset_label
full,0.5699670984988691,0.5737829102771752,"[[4356, 5639], [2726, 6731]]",19452,0.6120965685338176,0.6791160153459352,64,0.0,0.0,0.0,0.0,v3_1_fixed_smoke3000
no_counter,0.5655459592843923,0.569253089059069,"[[4350, 5645], [2806, 6651]]",19452,0.6091853952777383,0.6797202783358378,58,-0.0044211392144767,-0.0045298212181061,-0.0029111732560792,0.0006042629899025,v3_1_fixed_smoke3000
no_counter_no_losses,0.5710980876002467,0.5749574533486475,"[[4352, 5643], [2700, 6757]]",19452,0.6111253522499857,0.67929163279051,55,0.0011309891013776,0.0011745430714722,-0.0009712162838318,0.0001756174445747,v3_1_fixed_smoke3000
economy_only,0.5448797038864899,0.5484486400967217,"[[4192, 5803], [3050, 6407]]",19452,0.5767544235266624,0.6931397665593206,26,-0.0250873946123791,-0.0253342701804535,-0.0353421450071551,0.0140237512133853,v3_1_fixed_smoke3000
economy_scouting,0.5539276166975118,0.5574408701654412,"[[4302, 5693], [2984, 6473]]",19452,0.5874281065667655,0.6890593914251325,28,-0.0160394818013572,-0.016342040111734,-0.024668461967052,0.0099433760791972,v3_1_fixed_smoke3000
full,0.5891044195792111,0.5829528621129252,"[[5161, 5770], [3741, 8475]]",23147,0.6239153250816561,0.6682685371513167,73,0.0,0.0,0.0,0.0,v3_2_combatfix_smoke3000
no_counter,0.5946774960038018,0.5886081230379021,"[[5239, 5692], [3690, 8526]]",23147,0.6293253359451803,0.6657581254717558,66,0.0055730764245907,0.0056552609249769,0.0054100108635241,-0.0025104116795608,v3_2_combatfix_smoke3000
no_counter_no_losses,0.5926901974337927,0.5862490037675754,"[[5140, 5791], [3637, 8579]]",23147,0.6282938425991411,0.6665591465032257,63,0.0035857778545815,0.0032961416546501,0.0043785175174849,-0.001709390648091,v3_2_combatfix_smoke3000
economy_only,0.5776558517302458,0.5723229505590135,"[[5206, 5725], [4051, 8165]]",23147,0.6082307115832917,0.6740977236435545,26,-0.0114485678489653,-0.0106299115539116,-0.0156846134983644,0.0058291864922377,v3_2_combatfix_smoke3000
economy_scouting,0.5863826845811553,0.5815098003868644,"[[5397, 5534], [4040, 8176]]",23147,0.6181304034169925,0.6711192738205592,28,-0.0027217349980558,-0.0014430617260607,-0.0057849216646636,0.0028507366692425,v3_2_combatfix_smoke3000
