feature,importance
diff_income,0.04426568907772881
diff_workers,0.03642380594364135
p2_scout,0.03357756154712821
p1_scout,0.031534386330269865
diff_sq,0.025572734893969298
diff_combat_score,0.023730265001187873
diff_sq_vol_120,0.02281105920893671
diff_income_vol_120,0.022656731432880335
diff_income_120s,0.022245413604653833
p2_sq,0.02195022561269205
p1_sq,0.021373883501037198
diff_income_60s,0.021210698785367087
income_per_worker_diff,0.021118974164603465
p2_income_per_worker,0.020639821117273173
p1_income_per_worker,0.020638485624272125
army_supply_ratio_diff,0.020608269320935523
diff_sq_120s,0.020210525872838257
diff_combat_120s,0.020123321394250875
diff_sq_60s,0.020050245927172777
diff_workers_vol_120,0.019931065719136807
diff_combat_vol_120,0.01948855831888225
delta_sq_p2,0.01916056131708
delta_sq_p1,0.01900684164425044
income_momentum_15,0.018985245952201673
p2_combat,0.01885580370095582
sq_momentum_15,0.01871256438916763
p1_combat,0.018635110853008584
diff_combat_60s,0.01852033466773099
diff_epm,0.017630529048664776
p2_epm,0.017588216490337125
p2_workers,0.017476242806757403
p2_army_entropy,0.01747229037068515
p1_army_entropy,0.017399891903010244
p1_workers,0.01727554058183577
p1_epm,0.0171194321481438
p2_army_supply_ratio,0.017055507617128426
p2_army_to_worker_ratio,0.016917639270611688
p1_army_supply_ratio,0.016792603097553267
p1_army_to_worker_ratio,0.016761834944888025
combat_momentum_15,0.016287124759685488
delta_combat_p2,0.015940064949824074
delta_combat_p1,0.0157934800955805
diff_workers_120s,0.013972234696713492
p2_worker_growth_ratio,0.01208653830361584
p1_worker_growth_ratio,0.012077368511112858
diff_workers_60s,0.011676141832472646
loss_trade_ratio,0.010311421675131431
p1_recent_losses,0.008521206797865914
p2_recent_losses,0.00793454206210877
economic_momentum_15,0.007453205732674093
p2_num_unit_types,0.006075220236510303
p1_num_unit_types,0.005840344610992415
delta_workers_p1,0.00553945763985584
delta_workers_p2,0.005490772483714878
tech_diff,0.005258489905524228
p1_tech_level,0.0034097288151916506
p2_tech_level,0.003402681906337296
phase,0.0014020617822195318
