source,name,accuracy,balanced_accuracy,roc_auc,log_loss
legacy,01_test2_calibration_summary_xgb_vs_rf,,,,
legacy,02_test3_duration_comparison_v3_1_summary,,,,
legacy,03_mlp_torch_gpu_v3_1_summary,,,,
legacy,04_rf_clean_v3_1_summary,,,,
legacy,05_rf_test_clean_v3_1_summary,,,,
legacy,06_test1_xgb_vs_rf_bootstrap_summary,,,,
legacy,07_test2_calibration_summary_xgb_vs_rf,,,,
legacy,08_test3_duration_comparison_v3_1_summary,,,,
legacy,09_mlp_torch_gpu_v3_1_export_summary,,,,
legacy,10_test4_calibration_summary_xgb_rf_mlp,,,,
legacy,11_xgb_clean_v3_1_fixed_summary,,,,
remake,logreg/real_v3_1_fixed_smoke200/seed_42,0.5826210826210826,0.5782722797645854,0.6059754336382129,0.6916851713371948
remake,logreg/real_v3_1_fixed_smoke500/seed_42,0.5821899381221415,0.5833666934735686,0.6197021226552375,0.6715058282564561
remake,rf/real_v3_1_fixed_smoke200/seed_42,0.512584407612032,0.49613505244089934,0.5051481893047965,0.7242830918751975
remake,rf/real_v3_1_fixed_smoke500/seed_42,0.612,0.6035573754991308,0.6375782789895919,0.6610902314031778
remake,xgb/real_v3_1_fixed_smoke200/seed_42,0.573,0.5282809334129178,0.529990376767812,0.6856112560315787
remake,xgb/real_v3_1_fixed_smoke500/seed_42,0.576,0.5677545112699924,0.5899235575209654,0.6772957703598853
