feature,importance
diff_income,0.038522176
phase,0.026006695
loss_trade_ratio,0.02527649
counter_advantage_p2,0.025019731
p2_combat,0.02383134
diff_workers,0.023561168
p2_scout,0.022721214
p2_tech_level,0.021876846
counter_advantage_p1,0.021819608
p1_workers,0.021796022
p2_recent_losses,0.021508656
counter_advantage_vol_120,0.02126997
diff_combat_120s,0.021118576
p2_army_supply_ratio,0.019951854
p1_combat,0.019606568
p1_scout,0.019512054
tech_diff,0.019341128
diff_workers_vol_120,0.018923474
p2_army_to_worker_ratio,0.018799612
p1_recent_losses,0.01838485
p2_army_entropy,0.01811179
counter_advantage_diff_120s,0.017916312
p1_army_supply_ratio,0.017681172
diff_income_vol_120,0.017340135
p2_workers,0.017291218
counter_advantage_diff,0.017229293
diff_combat_score,0.016773742
p2_num_unit_types,0.016665893
p2_sq,0.01658244
diff_combat_vol_120,0.01590872
diff_workers_120s,0.015291637
p1_sq,0.015207268
army_supply_ratio_diff,0.0150327645
p1_worker_growth_ratio,0.014931405
p1_army_entropy,0.01485235
diff_income_120s,0.014581932
diff_sq,0.014261143
p1_epm,0.014100412
p2_income_per_worker,0.013989409
income_momentum_15,0.013728073
p1_army_to_worker_ratio,0.013568463
income_per_worker_diff,0.01286913
diff_epm,0.012676566
delta_combat_p1,0.012620564
diff_sq_vol_120,0.01213736
counter_advantage_diff_60s,0.011902943
p1_num_unit_types,0.011771023
combat_momentum_15,0.011451883
sq_momentum_15,0.0112978835
diff_income_60s,0.010911654
p2_worker_growth_ratio,0.010834659
diff_sq_60s,0.010744369
diff_sq_120s,0.010604076
delta_sq_p2,0.010355824
delta_combat_p2,0.01015624
diff_workers_60s,0.009724767
delta_sq_p1,0.009474674
p2_epm,0.009230504
p1_tech_level,0.008934076
p1_income_per_worker,0.008786331
diff_combat_60s,0.005872404
economic_momentum_15,0.00483487
delta_workers_p2,0.0029146008
delta_workers_p1,0.0
