feature,importance
diff_workers,0.04454168
diff_income,0.040897146
diff_raw_army_power,0.02315733
tech_diff,0.021915872
p2_num_unit_types,0.021181611
p2_scout,0.020074105
p1_raw_army_power,0.017863747
p2_tech_level,0.01750287
p1_scout,0.017261634
diff_raw_army_power_120s,0.017142652
p1_num_unit_types,0.016975332
diff_combat_120s,0.016089397
diff_sq,0.015768934
p2_raw_army_power,0.015114207
diff_income_120s,0.015077691
diff_combat_score,0.014473649
diff_income_60s,0.014432527
p1_tech_level,0.014348678
army_supply_ratio_diff,0.014343328
p1_army_to_worker_ratio,0.013841842
p2_workers,0.013702805
p2_recent_losses,0.013554187
p2_sq,0.013512938
loss_trade_ratio,0.013438125
p1_combat,0.013418045
p1_army_entropy,0.013209294
p1_workers,0.0131605975
p2_army_entropy,0.012958551
counter_advantage_p1,0.0126613155
diff_raw_army_power_vol_120,0.012579559
p2_combat,0.0125692
counter_advantage_diff,0.012535013
p1_army_supply_ratio,0.01238088
phase,0.012310437
counter_advantage_p2,0.012214215
counter_advantage_diff_120s,0.012183471
income_per_worker_diff,0.012153138
p2_army_supply_ratio,0.01212073
diff_matchup_power,0.012119042
counter_advantage_diff_60s,0.01200772
p1_recent_losses,0.011942744
diff_combat_vol_120,0.01192049
p2_epm,0.011845124
p2_army_to_worker_ratio,0.011705946
diff_workers_vol_120,0.011417836
counter_advantage_vol_120,0.0113680065
diff_sq_120s,0.011316847
diff_combat_60s,0.011157808
p2_worker_growth_ratio,0.011059895
p1_income_per_worker,0.010993027
delta_workers_p2,0.010949298
delta_sq_p2,0.010813562
delta_combat_p1,0.01077025
p1_sq,0.010762542
diff_income_vol_120,0.010751293
delta_workers_p1,0.010691861
delta_combat_p2,0.010566707
diff_sq_vol_120,0.0105555
p2_income_per_worker,0.010440346
diff_workers_120s,0.01042956
p1_worker_growth_ratio,0.010389143
raw_power_momentum_15,0.010378608
p1_epm,0.010324522
diff_raw_army_power_60s,0.010311483
economic_momentum_15,0.010304915
sq_momentum_15,0.010280689
combat_momentum_15,0.010148081
counter_advantage_momentum_15,0.010095617
delta_sq_p1,0.01001056
diff_sq_60s,0.009999801
diff_workers_60s,0.009967553
income_momentum_15,0.009925528
diff_epm,0.009611335
