feature,importance
diff_income,0.04033212
diff_workers,0.039708976
diff_raw_army_power,0.026691217
p2_scout,0.020929154
tech_diff,0.020675771
phase,0.019397046
diff_matchup_power,0.019215481
p1_tech_level,0.01898497
diff_raw_army_power_120s,0.017319517
diff_income_60s,0.016986363
army_supply_ratio_diff,0.01694467
p1_scout,0.016292984
p2_army_to_worker_ratio,0.016251942
loss_trade_ratio,0.015973318
p2_tech_level,0.01575708
diff_combat_score,0.015701817
p2_workers,0.015617642
diff_combat_120s,0.014956676
diff_sq,0.0147123365
diff_income_vol_120,0.014520397
p1_army_to_worker_ratio,0.014278424
p1_workers,0.014047702
p2_num_unit_types,0.013842895
p1_num_unit_types,0.013706157
p2_army_entropy,0.013490231
p1_raw_army_power,0.013476006
p2_combat,0.013290115
p2_sq,0.013134779
p1_army_entropy,0.012801272
p1_combat,0.0127180265
diff_sq_120s,0.012689696
diff_income_120s,0.012599076
diff_sq_vol_120,0.012371677
income_per_worker_diff,0.012253909
diff_workers_120s,0.01211351
p1_sq,0.012074944
diff_raw_army_power_vol_120,0.01197101
p1_army_supply_ratio,0.0118942605
counter_advantage_p2,0.011890489
diff_workers_vol_120,0.011847793
p2_army_supply_ratio,0.011744469
diff_combat_60s,0.011739547
delta_sq_p2,0.011651079
p2_epm,0.011626169
counter_advantage_vol_120,0.011569373
counter_advantage_p1,0.011453805
counter_advantage_diff,0.011435346
p2_raw_army_power,0.011416817
diff_workers_60s,0.011407382
diff_combat_vol_120,0.011381457
delta_combat_p2,0.0113759395
counter_advantage_momentum_15,0.011290311
delta_combat_p1,0.011199522
p2_income_per_worker,0.010917156
p1_epm,0.0108743245
delta_sq_p1,0.010786796
p2_recent_losses,0.010716151
diff_raw_army_power_60s,0.01068544
p1_recent_losses,0.010649712
sq_momentum_15,0.0104222195
income_momentum_15,0.010178415
p1_income_per_worker,0.010136376
diff_sq_60s,0.009937821
delta_workers_p1,0.009899896
counter_advantage_diff_120s,0.009726476
combat_momentum_15,0.009709241
economic_momentum_15,0.009592606
raw_power_momentum_15,0.009444226
p1_worker_growth_ratio,0.009141099
p2_worker_growth_ratio,0.009072863
counter_advantage_diff_60s,0.008978591
diff_epm,0.008363562
delta_workers_p2,0.008014334
