feature,importance
diff_income,163.60040283203125
diff_workers,126.9577865600586
diff_combat_score,66.03489685058594
p2_scout,50.45760726928711
p2_num_unit_types,48.435115814208984
tech_diff,47.45231246948242
diff_income_60s,46.79988098144531
diff_income_120s,41.71366882324219
loss_trade_ratio,39.284149169921875
diff_combat_120s,37.95887756347656
p1_scout,37.54275894165039
diff_sq,37.29275894165039
p2_tech_level,36.51992416381836
p1_num_unit_types,36.28314208984375
p2_sq,35.995079040527344
phase,32.43803787231445
p1_combat,32.360599517822266
p1_tech_level,31.970378875732422
p1_workers,29.395687103271484
army_supply_ratio_diff,28.27717399597168
p2_workers,28.02064323425293
p2_combat,26.77841567993164
p1_recent_losses,26.317180633544922
p2_army_entropy,26.208810806274414
p2_recent_losses,26.16790008544922
p1_army_entropy,25.366619110107422
p2_army_to_worker_ratio,24.444486618041992
p1_army_supply_ratio,23.9289608001709
counter_advantage_p1,23.867462158203125
counter_advantage_p2,23.240516662597656
p1_army_to_worker_ratio,22.236845016479492
p2_army_supply_ratio,21.512571334838867
counter_advantage_diff,21.16790008544922
p2_epm,21.135833740234375
counter_advantage_vol_120,20.36277961730957
p1_sq,19.108558654785156
income_per_worker_diff,18.904630661010742
income_momentum_15,18.794137954711914
diff_combat_vol_120,18.384204864501953
delta_combat_p1,17.63810920715332
diff_income_vol_120,16.772193908691406
counter_advantage_diff_120s,16.69699478149414
delta_combat_p2,16.686925888061523
p2_income_per_worker,16.307512283325195
diff_epm,16.12357521057129
diff_workers_120s,15.907110214233398
diff_workers_vol_120,15.83432388305664
p1_income_per_worker,15.582263946533203
diff_sq_vol_120,15.509836196899414
combat_momentum_15,15.145881652832031
p1_epm,14.345626831054688
counter_advantage_diff_60s,14.295883178710938
diff_combat_60s,14.121848106384277
diff_sq_60s,13.801849365234375
p2_worker_growth_ratio,12.978219032287598
sq_momentum_15,12.570839881896973
delta_workers_p2,12.239093780517578
delta_sq_p2,11.970515251159668
diff_workers_60s,11.6558256149292
p1_worker_growth_ratio,11.571464538574219
economic_momentum_15,11.185786247253418
delta_workers_p1,11.107744216918945
diff_sq_120s,10.115185737609863
delta_sq_p1,8.887259483337402
