feature,importance
diff_income,135.41294860839844
diff_workers,127.48310852050781
tech_diff,53.088375091552734
diff_combat_score,51.482303619384766
diff_income_60s,39.81129455566406
p2_num_unit_types,37.20695114135742
p1_num_unit_types,36.906005859375
loss_trade_ratio,36.0313606262207
p2_scout,35.94578170776367
diff_income_120s,35.12855529785156
p1_scout,31.859140396118164
diff_combat_120s,30.33656883239746
p2_tech_level,29.93874168395996
diff_sq,29.252952575683594
p1_combat,28.900861740112305
p2_sq,26.088171005249023
army_supply_ratio_diff,26.003110885620117
phase,25.3826847076416
p1_workers,24.843046188354492
p2_combat,24.747011184692383
p1_army_entropy,24.54730796813965
p2_army_supply_ratio,24.264400482177734
p2_workers,23.581899642944336
counter_advantage_p2,23.315153121948242
p2_army_entropy,23.061094284057617
p1_tech_level,22.78391456604004
p1_recent_losses,22.33559226989746
p1_army_supply_ratio,21.55258560180664
p2_army_to_worker_ratio,20.55382537841797
counter_advantage_diff,20.289203643798828
counter_advantage_p1,19.978992462158203
p2_epm,19.24131202697754
income_per_worker_diff,19.17135238647461
p1_sq,19.15220832824707
p1_army_to_worker_ratio,19.01169204711914
counter_advantage_vol_120,17.371042251586914
diff_workers_vol_120,17.272350311279297
p2_recent_losses,17.050922393798828
diff_workers_120s,16.920360565185547
income_momentum_15,16.845718383789062
diff_combat_vol_120,16.432891845703125
diff_income_vol_120,16.14796257019043
delta_combat_p2,15.726223945617676
counter_advantage_diff_120s,15.325103759765625
delta_combat_p1,15.108221054077148
p2_income_per_worker,14.614063262939453
diff_sq_vol_120,14.57891845703125
p1_epm,14.4097318649292
p1_income_per_worker,14.206454277038574
counter_advantage_diff_60s,13.640215873718262
diff_epm,13.140458106994629
combat_momentum_15,12.212048530578613
p1_worker_growth_ratio,12.199350357055664
sq_momentum_15,11.886960983276367
diff_workers_60s,11.701681137084961
diff_sq_60s,11.339428901672363
diff_combat_60s,11.2818021774292
p2_worker_growth_ratio,10.968884468078613
delta_workers_p1,10.718304634094238
diff_sq_120s,10.708619117736816
delta_sq_p2,10.14703369140625
economic_momentum_15,9.650995254516602
delta_workers_p2,9.459172248840332
delta_sq_p1,8.884037017822266
