feature,importance
diff_income,159.89979553222656
diff_workers,132.41989135742188
diff_raw_army_power,67.96409606933594
p2_scout,49.77511978149414
tech_diff,46.88935470581055
p2_num_unit_types,46.578060150146484
diff_combat_score,45.599674224853516
diff_matchup_power,45.59810256958008
diff_income_60s,41.928871154785156
loss_trade_ratio,39.24571228027344
diff_income_120s,38.83179473876953
p2_tech_level,38.72481155395508
p1_num_unit_types,38.56319808959961
p1_scout,36.95671081542969
p2_sq,35.083091735839844
diff_sq,34.92699432373047
p1_tech_level,33.54085922241211
diff_raw_army_power_120s,32.39271545410156
p1_raw_army_power,31.597394943237305
phase,29.39119529724121
diff_combat_120s,28.54755210876465
p2_workers,28.20122528076172
p1_workers,28.13043785095215
army_supply_ratio_diff,27.70842933654785
p1_combat,26.52594757080078
p2_army_entropy,26.017505645751953
p1_recent_losses,25.686622619628906
p2_raw_army_power,25.654619216918945
p1_army_entropy,24.110137939453125
p2_combat,24.032381057739258
counter_advantage_p2,23.772968292236328
p2_army_supply_ratio,23.704954147338867
p2_recent_losses,23.366247177124023
p1_army_supply_ratio,23.13214683532715
counter_advantage_diff,23.050039291381836
counter_advantage_p1,22.292009353637695
p2_epm,21.9901123046875
p2_army_to_worker_ratio,21.108781814575195
p1_army_to_worker_ratio,21.024036407470703
counter_advantage_vol_120,20.03936195373535
diff_combat_vol_120,19.425025939941406
p1_sq,19.38864517211914
diff_raw_army_power_vol_120,19.229095458984375
income_momentum_15,19.13469123840332
counter_advantage_diff_120s,18.69269371032715
income_per_worker_diff,17.679533004760742
p2_income_per_worker,16.485111236572266
diff_workers_vol_120,16.412973403930664
diff_income_vol_120,16.336318969726562
diff_workers_120s,15.863931655883789
counter_advantage_diff_60s,15.582396507263184
diff_sq_vol_120,15.385465621948242
raw_power_momentum_15,15.275378227233887
p1_income_per_worker,14.862957954406738
delta_combat_p1,14.78826904296875
diff_epm,14.782718658447266
p1_epm,14.710216522216797
delta_combat_p2,14.522900581359863
diff_raw_army_power_60s,13.90961742401123
p2_worker_growth_ratio,13.145694732666016
diff_sq_60s,13.073995590209961
combat_momentum_15,12.978008270263672
sq_momentum_15,12.967591285705566
diff_combat_60s,12.630672454833984
delta_workers_p2,12.295182228088379
p1_worker_growth_ratio,11.879288673400879
delta_sq_p2,11.866122245788574
economic_momentum_15,11.76760482788086
diff_workers_60s,11.305549621582031
delta_workers_p1,10.72834587097168
diff_sq_120s,10.369756698608398
counter_advantage_momentum_15,10.203350067138672
delta_sq_p1,9.247133255004883
